business,result
SANTOS ANNE,33
PRONTO PIZZA,67
JOE'S PIZZA,67
DOMINO'S,78
CARIDAD RESTAURANT,83
PAPA JOHN'S,85
CROWN FRIED CHICKEN,85
GOLDEN KRUST CARIBBEAN BAKERY & GRILL,88
DOMINO'S ,89
KENNEDY FRIED CHICKEN,90
CRUMBS BAKE SHOP,90
CHIPOTLE MEXICAN GRILL,92
SPICE,93
VIVI BUBBLE TEA,93
BURGER KING,93
CARVEL ICE CREAM,94
BARNES & NOBLE CAFE,94
KFC,95
SUBWAY,95
GREGORY'S COFFEE,95
MCDONALD'S,95
WICHCRAFT,96
POPEYES LOUISIANA KITCHEN,96
PIZZA HUT,97
LENWICH,97
WENDY'S,97
LITTLE CAESARS,98
DUNKIN' DONUTS,98
"DUNKIN' DONUTS, BASKIN ROBBINS",98
STARBUCKS ,100
RED MANGO,100
T.G.I. FRIDAY'S,100
TACO BELL,100
THE COFFEE BEAN & TEA LEAF,100
PRET A MANGER,100
POTBELLY SANDWICH WORKS,100
UNCLE LOUIE GS ITALIAN ICES & ICE CREAM,100
STARBUCKS,100
16 HANDLES,100
LE PAIN QUOTIDIEN,100
WHITE CASTLE,100
JUICE GENERATION,100
HALE & HEARTY SOUP,100
FRESH & CO,100
EUROPA CAFE,100
DUNKIN DONUTS,100
COCO FRESH TEA & JUICE,100
CHOP'T,100
CHECKERS,100
BOSTON MARKET,100
BAREBURGER,100
AU BON PAIN,100
APPLEBEE'S,100
LITTLE ITALY PIZZA,100
JUICE PRESS,100
